distancia_mm,estado
302,CHEIO
548,CHEIO
470,CHEIO
306,CHEIO
271,CHEIO
388,CHEIO
220,CHEIO
302,CHEIO
321,CHEIO
414,CHEIO
530,CHEIO
287,CHEIO
572,CHEIO
299,CHEIO
559,CHEIO
351,CHEIO
330,CHEIO
349,CHEIO
508,CHEIO
457,CHEIO
543,CHEIO
493,CHEIO
585,CHEIO
391,CHEIO
476,CHEIO
360,CHEIO
513,CHEIO
221,CHEIO
452,CHEIO
435,CHEIO
544,CHEIO
248,CHEIO
258,CHEIO
369,CHEIO
387,CHEIO
470,CHEIO
389,CHEIO
374,CHEIO
250,CHEIO
563,CHEIO
254,CHEIO
443,CHEIO
519,CHEIO
330,CHEIO
506,CHEIO
334,CHEIO
220,CHEIO
528,CHEIO
366,CHEIO
473,CHEIO
587,CHEIO
288,CHEIO
515,CHEIO
213,CHEIO
441,CHEIO
464,CHEIO
545,CHEIO
252,CHEIO
585,CHEIO
539,CHEIO
291,CHEIO
566,CHEIO
463,CHEIO
234,CHEIO
405,CHEIO
280,CHEIO
249,CHEIO
559,CHEIO
587,CHEIO
201,CHEIO
589,CHEIO
253,CHEIO
305,CHEIO
459,CHEIO
509,CHEIO
390,CHEIO
417,CHEIO
243,CHEIO
361,CHEIO
401,CHEIO
469,CHEIO
550,CHEIO
503,CHEIO
470,CHEIO
414,CHEIO
451,CHEIO
389,CHEIO
495,CHEIO
412,CHEIO
407,CHEIO
436,CHEIO
537,CHEIO
566,CHEIO
252,CHEIO
479,CHEIO
416,CHEIO
451,CHEIO
387,CHEIO
579,CHEIO
240,CHEIO
856,PARCIAL
714,PARCIAL
764,PARCIAL
1220,PARCIAL
1043,PARCIAL
828,PARCIAL
1347,PARCIAL
1171,PARCIAL
762,PARCIAL
838,PARCIAL
1198,PARCIAL
1292,PARCIAL
1091,PARCIAL
1374,PARCIAL
1118,PARCIAL
988,PARCIAL
1078,PARCIAL
1189,PARCIAL
930,PARCIAL
740,PARCIAL
727,PARCIAL
834,PARCIAL
900,PARCIAL
732,PARCIAL
747,PARCIAL
1202,PARCIAL
1106,PARCIAL
1273,PARCIAL
798,PARCIAL
1383,PARCIAL
1246,PARCIAL
1312,PARCIAL
1161,PARCIAL
1342,PARCIAL
704,PARCIAL
917,PARCIAL
1202,PARCIAL
1097,PARCIAL
1092,PARCIAL
906,PARCIAL
714,PARCIAL
1253,PARCIAL
1160,PARCIAL
1390,PARCIAL
1274,PARCIAL
940,PARCIAL
1263,PARCIAL
795,PARCIAL
1184,PARCIAL
1106,PARCIAL
930,PARCIAL
1354,PARCIAL
870,PARCIAL
1240,PARCIAL
735,PARCIAL
1224,PARCIAL
859,PARCIAL
1398,PARCIAL
942,PARCIAL
785,PARCIAL
1277,PARCIAL
1381,PARCIAL
1256,PARCIAL
1273,PARCIAL
1345,PARCIAL
727,PARCIAL
1319,PARCIAL
1255,PARCIAL
1039,PARCIAL
1030,PARCIAL
1339,PARCIAL
1205,PARCIAL
1047,PARCIAL
1172,PARCIAL
930,PARCIAL
889,PARCIAL
924,PARCIAL
1084,PARCIAL
1076,PARCIAL
982,PARCIAL
1332,PARCIAL
1327,PARCIAL
958,PARCIAL
1058,PARCIAL
1155,PARCIAL
1110,PARCIAL
1348,PARCIAL
1017,PARCIAL
1376,PARCIAL
924,PARCIAL
933,PARCIAL
1383,PARCIAL
1363,PARCIAL
1073,PARCIAL
1371,PARCIAL
1307,PARCIAL
1171,PARCIAL
932,PARCIAL
1391,PARCIAL
812,PARCIAL
1817,VAZIO
1996,VAZIO
1941,VAZIO
1551,VAZIO
1767,VAZIO
1794,VAZIO
1885,VAZIO
1886,VAZIO
1612,VAZIO
1600,VAZIO
1612,VAZIO
1939,VAZIO
1580,VAZIO
1686,VAZIO
1612,VAZIO
1501,VAZIO
1629,VAZIO
1719,VAZIO
1553,VAZIO
1842,VAZIO
1984,VAZIO
1723,VAZIO
1724,VAZIO
1884,VAZIO
1902,VAZIO
1625,VAZIO
1629,VAZIO
1552,VAZIO
1671,VAZIO
1717,VAZIO
1659,VAZIO
1697,VAZIO
1915,VAZIO
1746,VAZIO
1823,VAZIO
1938,VAZIO
1702,VAZIO
1683,VAZIO
1622,VAZIO
1900,VAZIO
1754,VAZIO
1793,VAZIO
1779,VAZIO
1824,VAZIO
1871,VAZIO
1597,VAZIO
1697,VAZIO
1969,VAZIO
1894,VAZIO
1739,VAZIO
1643,VAZIO
1596,VAZIO
1700,VAZIO
1623,VAZIO
1686,VAZIO
1825,VAZIO
1963,VAZIO
1848,VAZIO
1758,VAZIO
1647,VAZIO
1751,VAZIO
1942,VAZIO
1919,VAZIO
1902,VAZIO
1845,VAZIO
1950,VAZIO
1646,VAZIO
1647,VAZIO
1851,VAZIO
1698,VAZIO
1807,VAZIO
1988,VAZIO
1916,VAZIO
1923,VAZIO
1627,VAZIO
1538,VAZIO
1837,VAZIO
1859,VAZIO
1628,VAZIO
1766,VAZIO
1975,VAZIO
1940,VAZIO
1972,VAZIO
1933,VAZIO
1650,VAZIO
1914,VAZIO
1977,VAZIO
1797,VAZIO
1598,VAZIO
1762,VAZIO
1751,VAZIO
1643,VAZIO
1845,VAZIO
1611,VAZIO
1999,VAZIO
1559,VAZIO
1868,VAZIO
1501,VAZIO
1884,VAZIO
1803,VAZIO
